2001 | Java | 1 | 26.49%
2001 | C | 2 | 20.24%
2001 | C++ | 3 | 14.12%
2001 | Visual Basic | 4 | 8.07%
2001 | Perl | 5 | 6.27%
2001 | Python | 6 | 4.15%
2001 | Delphi | 7 | 3.52%
2001 | SQL | 8 | 2.15%
2001 | PHP | 9 | 2.08%
2001 | JavaScript | 10 | 1.95%
2002 | Java | 1 | 24.11%
2002 | C | 2 | 19.34%
2002 | C++ | 3 | 14.93%
2002 | Visual Basic | 4 | 8.63%
2002 | PHP | 5 | 5.21%
2002 | Perl | 6 | 5.08%
2002 | Delphi | 7 | 3.82%
2002 | SQL | 8 | 3.01%
2002 | Python | 9 | 2.76%
2002 | JavaScript | 10 | 2.12%
2003 | Java | 1 | 24.91%
2003 | C | 2 | 19.42%
2003 | C++ | 3 | 14.81%
2003 | PHP | 4 | 6.91%
2003 | Visual Basic | 5 | 6.53%
2003 | Perl | 6 | 5.66%
2003 | SQL | 7 | 3.65%
2003 | Delphi | 8 | 3.55%
2003 | JavaScript | 9 | 2.30%
2003 | Python | 10 | 2.11%
2004 | Java | 1 | 23.12%
2004 | C | 2 | 17.84%
2004 | C++ | 3 | 14.21%
2004 | PHP | 4 | 9.87%
2004 | Visual Basic | 5 | 7.15%
2004 | Perl | 6 | 5.92%
2004 | SQL | 7 | 3.42%
2004 | Delphi | 8 | 3.11%
2004 | Python | 9 | 2.45%
2004 | C# | 10 | 2.14%
2005 | Java | 1 | 18.06%
2005 | C | 2 | 15.48%
2005 | C++ | 3 | 10.91%
2005 | PHP | 4 | 9.32%
2005 | Perl | 5 | 8.44%
2005 | Visual Basic | 6 | 6.51%
2005 | Python | 7 | 2.94%
2005 | C# | 8 | 2.51%
2005 | JavaScript | 9 | 2.11%
2005 | Delphi | 10 | 2.05%
2006 | Java | 1 | 22.21%
2006 | C | 2 | 18.52%
2006 | C++ | 3 | 11.14%
2006 | PHP | 4 | 9.11%
2006 | Visual Basic | 5 | 7.21%
2006 | Perl | 6 | 6.32%
2006 | Python | 7 | 3.41%
2006 | C# | 8 | 3.12%
2006 | JavaScript | 9 | 2.76%
2006 | Delphi | 10 | 2.21%
2007 | Java | 1 | 19.45%
2007 | C | 2 | 15.12%
2007 | C++ | 3 | 10.42%
2007 | PHP | 4 | 8.74%
2007 | Visual Basic | 5 | 4.62%
2007 | Perl | 6 | 4.31%
2007 | Python | 7 | 3.65%
2007 | C# | 8 | 3.25%
2007 | JavaScript | 9 | 2.91%
2007 | Delphi | 10 | 2.32%
2008 | Java | 1 | 20.91%
2008 | C | 2 | 14.15%
2008 | C++ | 3 | 12.11%
2008 | PHP | 4 | 9.21%
2008 | Visual Basic | 5 | 8.42%
2008 | Python | 6 | 5.21%
2008 | C# | 7 | 4.41%
2008 | JavaScript | 8 | 3.12%
2008 | Perl | 9 | 3.01%
2008 | Delphi | 10 | 2.52%
2009 | Java | 1 | 19.02%
2009 | C | 2 | 15.91%
2009 | C++ | 3 | 10.12%
2009 | PHP | 4 | 9.11%
2009 | VB .NET | 5 | 6.32%
2009 | Python | 6 | 4.51%
2009 | C# | 7 | 4.32%
2009 | JavaScript | 8 | 3.11%
2009 | Perl | 9 | 2.91%
2009 | Delphi | 10 | 2.51%
2010 | Java | 1 | 17.48%
2010 | C | 2 | 16.21%
2010 | PHP | 3 | 10.06%
2010 | C++ | 4 | 9.71%
2010 | VB .NET | 5 | 6.45%
2010 | C# | 6 | 5.76%
2010 | Python | 7 | 4.45%
2010 | Objective-C | 8 | 3.38%
2010 | Perl | 9 | 3.12%
2010 | JavaScript | 10 | 2.74%
2011 | Java | 1 | 17.72%
2011 | C | 2 | 15.82%
2011 | C++ | 3 | 8.71%
2011 | PHP | 4 | 7.15%
2011 | Python | 5 | 6.27%
2011 | C# | 6 | 5.61%
2011 | Visual Basic | 7 | 4.71%
2011 | Objective-C | 8 | 3.11%
2011 | Perl | 9 | 2.95%
2011 | Ruby | 10 | 2.32%
2012 | Java | 1 | 17.41%
2012 | C | 2 | 16.92%
2012 | C++ | 3 | 8.12%
2012 | Objective-C | 4 | 7.02%
2012 | C# | 5 | 6.32%
2012 | PHP | 6 | 5.91%
2012 | Python | 7 | 3.82%
2012 | Visual Basic | 8 | 3.51%
2012 | Perl | 9 | 2.76%
2012 | JavaScript | 10 | 2.31%
2013 | C | 1 | 17.82%
2013 | Java | 2 | 17.41%
2013 | Objective-C | 3 | 10.28%
2013 | C++ | 4 | 9.14%
2013 | C# | 5 | 6.12%
2013 | PHP | 6 | 5.41%
2013 | Python | 7 | 4.12%
2013 | Visual Basic | 8 | 3.42%
2013 | Perl | 9 | 2.31%
2013 | Ruby | 10 | 1.82%
2014 | C | 1 | 17.91%
2014 | Java | 2 | 16.42%
2014 | Objective-C | 3 | 11.01%
2014 | C++ | 4 | 7.52%
2014 | C# | 5 | 5.81%
2014 | PHP | 6 | 4.62%
2014 | Python | 7 | 3.11%
2014 | JavaScript | 8 | 2.12%
2014 | Visual Basic | 9 | 1.95%
2014 | Perl | 10 | 1.76%
2015 | C | 1 | 16.70%
2015 | Java | 2 | 15.53%
2015 | C++ | 3 | 6.71%
2015 | Objective-C | 4 | 6.32%
2015 | C# | 5 | 5.05%
2015 | PHP | 6 | 3.78%
